year,birth_country,category,count,id,country,gdp_nominal,gdp_abbrev,gdp_growth,population,gdp_per_capita,share_of_world_gdp,average_iq,averageIqByCountry_sourceLynnBecker2019,AverageIQ_ICI2017Grade,AverageIQ_ICI2017Score,OverallPisaScore2022,PISAScoresMathScore2022,PISAScoresScienceScore2022,PISAScoresReadingScore2022,latest_year_data,tertiary_percentage
1901,France,LiteraturePeace,2,7,France,2782910000000,$2.783 trillion,2.56%,64626628,43061,2.77%,96.69,T,A-,56.7,1435.0,474.0,487.0,474.0,2022.0,70.794189453125
1901,Germany,Physics,1,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447.0,475.0,492.0,480.0,2021.0,75.6655426025391
1901,Netherlands,Chemistry,1,18,Netherlands,991115000000,$991 billion,4.48%,17564014,56429,0.99%,100.74,T,A-,58.7,1440.0,493.0,488.0,459.0,2021.0,88.9542617797852
1901,Poland,Medicine,1,21,Poland,688177000000,$688 billion,4.87%,39857145,17266,0.68%,96.35,T,B,45.6,1477.0,489.0,499.0,489.0,2022.0,73.979377746582
1901,Switzerland,Peace,1,20,Switzerland,807706000000,$808 billion,2.06%,8740472,92410,0.80%,99.24,T,A,61.6,1494.0,508.0,503.0,483.0,2022.0,74.1526794433594
1902,Germany,ChemistryLiterature,2,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447.0,475.0,492.0,480.0,2021.0,75.6655426025391
1902,India,Medicine,1,5,India,3385090000000,$3.385 trillion,7.00%,1417173173,2389,3.37%,76.24,T,C-,29.4,,,,,2023.0,33.117000579834
1902,Netherlands,Physics,2,18,Netherlands,991115000000,$991 billion,4.48%,17564014,56429,0.99%,100.74,T,A-,58.7,1440.0,493.0,488.0,459.0,2021.0,88.9542617797852
1902,Switzerland,Peace,2,20,Switzerland,807706000000,$808 billion,2.06%,8740472,92410,0.80%,99.24,T,A,61.6,1494.0,508.0,503.0,483.0,2022.0,74.1526794433594
1903,Denmark,Medicine,1,39,Denmark,395404000000,$395 billion,3.82%,5882261,67220,0.39%,97.83,T,A,60.3,1472.0,489.0,494.0,489.0,2022.0,84.5866088867188
1903,France,Physics,2,7,France,2782910000000,$2.783 trillion,2.56%,64626628,43061,2.77%,96.69,T,A-,56.7,1435.0,474.0,487.0,474.0,2022.0,70.794189453125
1903,Norway,Literature,1,24,Norway,579267000000,$579 billion,3.28%,5434319,106594,0.58%,97.13,T,B+,55.0,1423.0,468.0,478.0,477.0,2021.0,93.9243011474609
1903,Poland,Physics,1,21,Poland,688177000000,$688 billion,4.87%,39857145,17266,0.68%,96.35,T,B,45.6,1477.0,489.0,499.0,489.0,2022.0,73.979377746582
1903,Sweden,Chemistry,1,23,Sweden,585939000000,$586 billion,2.64%,10549347,55543,0.58%,97.0,T,A,61.6,1463.0,482.0,494.0,487.0,2022.0,83.8976135253906
1903,United Kingdom,Peace,1,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483.0,489.0,500.0,494.0,2022.0,82.6516494750977
1904,France,Literature,1,7,France,2782910000000,$2.783 trillion,2.56%,64626628,43061,2.77%,96.69,T,A-,56.7,1435.0,474.0,487.0,474.0,2022.0,70.794189453125
1904,Russia,Medicine,1,8,Russia,2240420000000,$2.240 trillion,-2.07%,144713314,15482,2.23%,96.29,T,B,46.6,,,,,2022.0,56.617000579834
1904,Spain,Literature,1,15,Spain,1397510000000,$1.398 trillion,5.45%,47558630,29385,1.39%,93.9,T,B,49.8,1432.0,473.0,485.0,474.0,2021.0,94.5903778076172
1904,United Kingdom,ChemistryPhysics,2,6,United Kingdom,3070670000000,$3.071 trillion,4.10%,67508936,45485,3.05%,99.12,T,A,64.2,1483.0,489.0,500.0,494.0,2022.0,82.6516494750977
1905,Germany,ChemistryMedicine,2,4,Germany,4072190000000,$4.072 trillion,1.79%,83369843,48845,4.05%,100.74,T,A,64.2,1447.0,475.0,492.0,480.0,2021.0,75.6655426025391
